Entry,localization,annotation_grade
Q13685,nucleoplasm,annotations_grade_1
P61221,nucleoplasm,annotations_grade_1
P63261,cytoplasmic,annotations_grade_1
P61160,cytoplasmic,annotations_grade_1
Q6RW13,focal_adhesions,annotations_grade_1
P31749,cell_contact,annotations_grade_1
P31751,vesicles,annotations_grade_1
Q96DE5,cytoskeleton,annotations_grade_1
Q9UJX5,big_aggregates,annotations_grade_1
Q6UB99,cytoplasmic,annotations_grade_1
Q8N6S4,nucleoplasm,annotations_grade_1
Q8N6S4,cytoplasmic,annotations_grade_1
O75179,nucleoplasm,annotations_grade_1
Q6AI12,cytoplasmic,annotations_grade_1
Q6AI12,vesicles,annotations_grade_1
Q86W74,vesicles,annotations_grade_1
Q8NB46,nucleoplasm,annotations_grade_1
P53680,cytoplasmic,annotations_grade_1
P25054,centrosome,annotations_grade_1
Q8NEU8,vesicles,annotations_grade_1
P84077,cytoplasmic,annotations_grade_1
P18085,golgi,annotations_grade_1
P84085,nucleoplasm,annotations_grade_1
Q8N6T3,vesicles,annotations_grade_1
Q8N6H7,cytoplasmic,annotations_grade_1
Q9Y6D5,cytoplasmic,annotations_grade_1
P53367,cytoplasmic,annotations_grade_1
P53367,vesicles,annotations_grade_1
P53365,nucleoplasm,annotations_grade_1
Q07960,cytoplasmic,annotations_grade_1
Q9NRY4,nucleoplasm,annotations_grade_1
P85298,golgi,annotations_grade_1
P40616,cytoplasmic,annotations_grade_1
O15145,nucleoplasm,annotations_grade_1
Q9BSB4,nucleoplasm,annotations_grade_1
O94817,nucleoplasm,annotations_grade_1
Q9NT62,big_aggregates,annotations_grade_1
Q13315,nuclear_punctae,annotations_grade_1
P20020,vesicles,annotations_grade_1
P36543,golgi,annotations_grade_1
O75348,nucleoplasm,annotations_grade_1
P56945,focal_adhesions,annotations_grade_1
P56945,vesicles,annotations_grade_1
P54132,nucleoplasm,annotations_grade_1
P54132,nucleolus_gc,annotations_grade_1
O43709,cytoplasmic,annotations_grade_1
Q13895,nucleoplasm,annotations_grade_1
Q32NC0,nuclear_punctae,annotations_grade_1
Q9BRJ6,chromatin,annotations_grade_1
Q05682,cytoplasmic,annotations_grade_1
P0DP23,membrane,annotations_grade_1
P0DP24,cell_contact,annotations_grade_1
Q14012,nucleoplasm,annotations_grade_1
Q13555,nucleoplasm,annotations_grade_1
Q14444,nucleoplasm,annotations_grade_1
P47756,nucleoplasm,annotations_grade_1
P83916,nucleoplasm,annotations_grade_1
P83916,chromatin,annotations_grade_1
Q9H6F5,nucleoplasm,annotations_grade_1
Q99832,big_aggregates,annotations_grade_1
Q12834,nuclear_punctae,annotations_grade_1
Q12834,cytoplasmic,annotations_grade_1
P60953,nucleoplasm,annotations_grade_1
P60953,cytoskeleton,annotations_grade_1
Q9Y5S2,nucleoplasm,annotations_grade_1
O00311,nucleolus_fc_dfc,annotations_grade_1
P24941,nuclear_punctae,annotations_grade_1
P24941,cytoplasmic,annotations_grade_1
P50613,nucleolus_fc_dfc,annotations_grade_1
P49450,nucleolus_gc,annotations_grade_1
Q5VT06,cytoskeleton,annotations_grade_1
Q6P2H3,cytoplasmic,annotations_grade_1
Q9Y5P4,nucleoplasm,annotations_grade_1
P41208,nucleoplasm,annotations_grade_1
O15182,nucleoplasm,annotations_grade_1
O15182,cytoplasmic,annotations_grade_1
O14757,cytoplasmic,annotations_grade_1
O43633,vesicles,annotations_grade_1
Q9UQN3,vesicles,annotations_grade_1
Q8WUX9,er,annotations_grade_1
P15882,big_aggregates,annotations_grade_1
Q8IYA6,nuclear_membrane,annotations_grade_1
Q14008,cytoskeleton,annotations_grade_1
Q00610,golgi,annotations_grade_1
Q00610,membrane,annotations_grade_1
