Entry,localization,evidence_code
A0A087X1C5,Cytoplasm,ECO:0000305
A0A087X1C5,Mitochondrion,ECO:0000269
A0A087X1C5,Membrane,ECO:0000305
A0A0B4J2F0,Mitochondrion outer membrane,ECO:0000269
A0A0C5B5G6,Nucleus,ECO:0000269
A0A0C5B5G6,Secreted,ECO:0000269
A0A0C5B5G6,Mitochondrion,ECO:0000269
A0A0K2S4Q6,Membrane,ECO:0000255
A0A0K2S4Q6,Secreted,ECO:0000269
A0A0U1RRE5,P-body,ECO:0000269
A0A1B0GTW7,Membrane,ECO:0000255
A0A5B9,Cell membrane,ECO:0000303
A0AV02,Membrane,ECO:0000305
A0AV96,Nucleus,ECO:0000250
A0AVF1,Cilium,ECO:0000250
A0AVI4,Endoplasmic reticulum membrane,ECO:0000269
A0AVK6,Nucleus,ECO:0000269
A0FGR8,Endoplasmic reticulum membrane,ECO:0000269
A0FGR8,Cell membrane,ECO:0000269
A0FGR9,Endoplasmic reticulum membrane,ECO:0000269
A0FGR9,Cell membrane,ECO:0000269
A0JLT2,Nucleus,ECO:0000305
A0JNW5,Early endosome,ECO:0000269
A0JNW5,Cytosol,ECO:0000269
A0M8Q6,Cell membrane,ECO:0000303
A0M8Q6,Secreted,ECO:0000303
A0MZ66,Growth cone,ECO:0000250
A0MZ66,Lamellipodium,ECO:0000250
A0MZ66,Axon,ECO:0000250
A0MZ66,Perikaryon,ECO:0000250
A0MZ66,Filopodium,ECO:0000250
A0MZ66,Cytoskeleton,ECO:0000250
A0PJK1,Cell membrane,ECO:0000269
A0PJY2,Nucleus,ECO:0000269
A0PK00,Nucleus inner membrane,ECO:0000250
A0PK11,Stereocilium membrane,ECO:0000250
A1A4S6,Perinuclear region,ECO:0000250
A1A4S6,Cell membrane,ECO:0000250
A1A4S6,Cytoplasm,ECO:0000250
A1A4Y4,Cell membrane,ECO:0000250
A1A4Y4,Phagocytic cup,ECO:0000250
A1A4Y4,Autophagosome membrane,ECO:0000250
A1A4Y4,Golgi apparatus membrane,ECO:0000250
A1A4Y4,Phagosome membrane,ECO:0000250
A1A519,Nucleus,ECO:0000269
A1A5B4,Cell membrane,ECO:0000269
A1A5C7,Membrane,ECO:0000305
A1E959,Secreted,ECO:0000250
A1E959,Cytoplasm,ECO:0000269
A1E959,Nucleus,ECO:0000269
A1KXE4,Axon,ECO:0000250
A1KXE4,Perinuclear region,ECO:0000250
A1KXE4,Cell membrane,ECO:0000250
A1KZ92,Secreted,ECO:0000269
A1KZ92,Endoplasmic reticulum,ECO:0000269
A1KZ92,Cytoplasm,None
A1KZ92,Cell membrane,ECO:0000269
A1L0T0,Endoplasmic reticulum membrane,ECO:0000269
A1L167,Nucleus,ECO:0000269
A1L190,Nucleus,ECO:0000250
A1L190,Chromosome,ECO:0000250
A1L390,Cytoskeleton,ECO:0000269
A1L3X0,Endoplasmic reticulum membrane,ECO:0000269
A1L3X0,Endoplasmic reticulum membrane,ECO:0000255
A1L4H1,Secreted,ECO:0000250
A1L4H1,Cytoplasm,ECO:0000250
A1L4K1,Sarcoplasmic reticulum,ECO:0000250
A1L4K1,Perinuclear region,ECO:0000250
A1L4K1,Nucleus,ECO:0000250
A1X283,Cytoplasm,ECO:0000250
A1X283,Podosome,ECO:0000250
A1XBS5,Centriole,ECO:0000269
A1XBS5,Cytoplasm,ECO:0000269
A1XBS5,Mitochondrion inner membrane,ECO:0000269
A1XBS5,Cilium,ECO:0000250
A1XBS5,Cilium basal body,ECO:0000269
A1XBS5,Nucleus,ECO:0000269
A1Z1Q3,Nucleus,ECO:0000269
A2A288,P-body,ECO:0000269
A2A288,Nucleus,None
A2A288,Cytoplasm,None
A2A2Y4,Membrane,ECO:0000305
A2IDD5,Centriole,None
A2IDD5,Sarcolemma,None
A2IDD5,Perinuclear region,None
A2IDD5,Sarcoplasmic reticulum,None
A2RRP1,Cytoplasm,ECO:0000269
A2RRP1,Endoplasmic reticulum,ECO:0000269
A2RRP1,Endoplasmic reticulum membrane,None
A2RTX5,Nucleus,ECO:0000250
A2RTX5,Cytoplasm,ECO:0000250
A2RU14,Cilium,ECO:0000250
A2RU14,Membrane,ECO:0000305
A2RU30,Cytoplasm,ECO:0000269
A2RU30,Endoplasmic reticulum membrane,ECO:0000269
A2RU49,Cytoplasm,ECO:0000305
A2RUB1,Nucleus,ECO:0000250
A2RUB1,Cytoplasm,ECO:0000250
A2RUB6,Photoreceptor outer segment,ECO:0000269
A2RUB6,Cilium basal body,ECO:0000269
A2RUB6,Centrosome,ECO:0000269
A2RUB6,Centriolar satellite,ECO:0000269
A2RUB6,Cilium,ECO:0000269
A2RUB6,Photoreceptor inner segment,ECO:0000269
A2RUH7,Sarcomere,ECO:0000305
A2VDJ0,Cytoplasm,ECO:0000269
A2VDJ0,Endoplasmic reticulum,ECO:0000269
A2VDJ0,Cell membrane,ECO:0000269
A2VEC9,Extracellular space,ECO:0000250
A3KMH1,Peroxisome,ECO:0000269
A3KMH1,Mitochondrion,ECO:0000269
A4D0S4,Basement membrane,None
A4D126,Cytosol,ECO:0000269
A4D1B5,trans-Golgi network,ECO:0000269
A4D1E9,Nucleolus,ECO:0000269
A4D1E9,Chromosome,ECO:0000269
A4D1P6,Early endosome membrane,ECO:0000269
A4D1P6,Late endosome membrane,ECO:0000269
A4D1T9,Acrosome,ECO:0000269
A4D1T9,Secreted,ECO:0000305
A4D256,Endoplasmic reticulum membrane,ECO:0000269
A4D2B0,Nucleus,ECO:0000269
A4D2B0,Cytosol,ECO:0000269
A4GXA9,Nucleus,ECO:0000305
A4UGR9,Cell junction,ECO:0000269
A5D8T8,Endosome,ECO:0000305
A5D8T8,Golgi apparatus,ECO:0000305
A5D8T8,Secreted,ECO:0000269
A5D8T8,Endoplasmic reticulum,ECO:0000305
A5D8V6,Late endosome membrane,ECO:0000305
A5D8V7,Centriole,ECO:0000250
A5D8V7,Cilium basal body,ECO:0000250
A5D8V7,Cilium axoneme,ECO:0000269
A5D8W1,Flagellum,ECO:0000269
A5D8W1,Cilium,ECO:0000250
A5LHX3,Nucleus,ECO:0000250
A5LHX3,Cytoplasm,ECO:0000255
A5PKW4,Cleavage furrow,ECO:0000269
A5PKW4,Ruffle membrane,ECO:0000269
A5PKW4,Cell membrane,ECO:0000269
A5PLL7,Endoplasmic reticulum membrane,ECO:0000269
A5X5Y0,Cell membrane,ECO:0000269
A5YKK6,P-body,ECO:0000269
A5YKK6,Nucleus,ECO:0000305
A6BM72,Basolateral cell membrane,ECO:0000269
A6BM72,Cell membrane,ECO:0000269
A6H8Y1,Nucleus,ECO:0000269
A6NC98,Golgi apparatus,ECO:0000269
A6NC98,Cytoplasm,ECO:0000269
A6NC98,Microtubule organizing center,ECO:0000269
A6NC98,Membrane,ECO:0000250
A6NC98,Endoplasmic reticulum,ECO:0000269
