Entry,localization,relability_score
P52756,Nucleoplasm,Enhanced
Q02790,Nucleoplasm,Enhanced
P46063,Nucleoplasm,Enhanced
P30260,Nucleoplasm,Enhanced
O14641,Nuclear bodies,Enhanced
O14641,Nucleoplasm,Enhanced
O75563,Nucleoplasm,Enhanced
P57073,Nucleoplasm,Enhanced
Q9UKT7,Nuclear bodies,Enhanced
P26367,Nucleoplasm,Enhanced
O43670,Nucleoplasm,Enhanced
Q9NQW6,Nucleoplasm,Enhanced
O95785,Nucleoplasm,Enhanced
Q9Y5A7,Nucleoli,Enhanced
Q9Y5A7,Nucleoplasm,Enhanced
Q96FC9,Nucleoli,Enhanced
Q96FC9,Nucleoplasm,Enhanced
P51948,Nucleoplasm,Enhanced
P49959,Nucleoplasm,Enhanced
O60306,Nucleoplasm,Enhanced
Q9NS18,Nucleoplasm,Enhanced
Q16533,Nucleoli,Enhanced
Q16533,Nucleoplasm,Enhanced
Q9H4E7,Nucleoplasm,Enhanced
P09086,Nucleoplasm,Enhanced
Q9H8M2,Nucleoplasm,Enhanced
P62380,Nucleoplasm,Enhanced
Q9NYF8,Nuclear speckles,Enhanced
Q7L2Z9,Nucleoplasm,Enhanced
Q9H6Z4,Nucleoplasm,Enhanced
Q6NZY4,Nucleoplasm,Enhanced
A0AVT1,Nucleoplasm,Enhanced
P35251,Nucleoplasm,Enhanced
Q8IYH5,Nucleoli,Enhanced
Q8IYH5,Nucleoli rim,Enhanced
Q8IYH5,Nucleoplasm,Enhanced
Q9UBP6,Nucleoplasm,Enhanced
Q8NFC6,Nucleoplasm,Enhanced
Q9BUL5,Nucleoplasm,Enhanced
Q9NQC1,Nucleoplasm,Enhanced
P12270,Nuclear membrane,Enhanced
Q9Y3C1,Nucleoli,Enhanced
Q7LG56,Nucleoplasm,Enhanced
Q96T23,Nucleoplasm,Enhanced
Q5JTH9,Nucleoli,Enhanced
Q9Y2W1,Nuclear speckles,Enhanced
Q9Y2X3,Nucleoli fibrillar center,Enhanced
Q9Y2X3,Nucleoplasm,Enhanced
Q9P275,Nucleoli,Enhanced
Q9P275,Nucleoli rim,Enhanced
Q9NVU0,Nucleoplasm,Enhanced
Q4VC44,Nuclear bodies,Enhanced
Q9NVM9,Nucleoplasm,Enhanced
O14593,Nucleoplasm,Enhanced
Q8IX01,Nuclear bodies,Enhanced
Q8IX01,Nucleoplasm,Enhanced
Q9P0W2,Nucleoplasm,Enhanced
Q9UNX4,Nucleoli,Enhanced
Q9UNX4,Nucleoplasm,Enhanced
Q16513,Nucleoplasm,Enhanced
Q96T58,Nucleoplasm,Enhanced
O95625,Nucleoplasm,Enhanced
Q9Y6D6,Nucleoplasm,Enhanced
Q5QJE6,Nucleoli,Enhanced
Q5QJE6,Nucleoplasm,Enhanced
Q92917,Nucleoplasm,Enhanced
O95602,Nucleoli fibrillar center,Enhanced
O00139,Nucleoli,Enhanced
O00139,Nucleoplasm,Enhanced
Q99583,Nucleoplasm,Enhanced
Q96S53,Nucleoplasm,Enhanced
Q13428,Nucleoli fibrillar center,Enhanced
Q9NXR8,Nucleoplasm,Enhanced
P15923,Nucleoplasm,Enhanced
Q96EP5,Nucleoplasm,Enhanced
Q14527,Nucleoplasm,Enhanced
Q14320,Nucleoplasm,Enhanced
Q10570,Nucleoplasm,Enhanced
Q14683,Nucleoplasm,Enhanced
P18887,Nucleoplasm,Enhanced
P49736,Nucleoplasm,Enhanced
Q9H3D4,Nucleoplasm,Enhanced
Q15562,Nucleoplasm,Enhanced
Q99685,Nucleoplasm,Enhanced
Q14966,Nucleoplasm,Enhanced
P15408,Nucleoplasm,Enhanced
Q14566,Nucleoplasm,Enhanced
Q9Y580,Nucleoplasm,Enhanced
Q9UIF9,Nuclear speckles,Enhanced
P40692,Nucleoplasm,Enhanced
Q9NPI5,Nucleoplasm,Enhanced
P10826,Nucleoplasm,Enhanced
Q02880,Nucleoplasm,Enhanced
Q9NQT4,Nucleoli,Enhanced
O75928,Nucleoplasm,Enhanced
Q9NWB1,Nucleoplasm,Enhanced
P31269,Nucleoplasm,Enhanced
Q96J02,Nucleoplasm,Enhanced
Q96FV9,Nuclear speckles,Enhanced
P13010,Nucleoplasm,Enhanced
Q9P0U3,Nucleoplasm,Enhanced
Q9UF33,Nucleoplasm,Enhanced
P28749,Nucleoplasm,Enhanced
P36402,Nucleoplasm,Enhanced
Q8WW12,Nuclear bodies,Enhanced
Q8WW12,Nucleoplasm,Enhanced
Q6STE5,Nucleoplasm,Enhanced
O14980,Nuclear membrane,Enhanced
O14980,Nucleoplasm,Enhanced
Q9H7E2,Nucleoplasm,Enhanced
Q9UHK0,Nucleoli,Enhanced
Q9UHK0,Nucleoplasm,Enhanced
Q9NTI5,Nucleoplasm,Enhanced
Q15788,Nucleoplasm,Enhanced
Q92698,Nucleoplasm,Enhanced
Q9NW64,Nucleoplasm,Enhanced
Q7Z6Z7,Nucleoplasm,Enhanced
Q9BXP5,Nucleoplasm,Enhanced
P78316,Nucleoli,Enhanced
P78316,Nucleoplasm,Enhanced
P35611,Nucleoplasm,Enhanced
Q13435,Nuclear speckles,Enhanced
Q96KR7,Nucleoplasm,Enhanced
Q9NVP1,Mitotic chromosome,Enhanced
Q9NVP1,Nucleoli,Enhanced
Q9NVP1,Nucleoli rim,Enhanced
Q92945,Nucleoplasm,Enhanced
Q9H0D6,Nucleoli,Enhanced
Q9H0D6,Nucleoplasm,Enhanced
Q9UJA5,Nucleoplasm,Enhanced
Q9P107,Nucleoplasm,Enhanced
P24278,Nucleoplasm,Enhanced
