Entry,localization,evidence_code
A0A0C5B5G6,Nucleus,ECO:0000269
A0AV96,Nucleus,ECO:0000250
A0AVK6,Nucleus,ECO:0000269
A0JLT2,Nucleus,ECO:0000305
A0PJY2,Nucleus,ECO:0000269
A0PK00,Nucleus inner membrane,ECO:0000250
A1A519,Nucleus,ECO:0000269
A1E959,Nucleus,ECO:0000269
A1L167,Nucleus,ECO:0000269
A1L190,Nucleus,ECO:0000250
A1L4K1,Nucleus,ECO:0000250
A1XBS5,Nucleus,ECO:0000269
A1Z1Q3,Nucleus,ECO:0000269
A2A288,Nucleus,None
A2RTX5,Nucleus,ECO:0000250
A2RUB1,Nucleus,ECO:0000250
A4D1E9,Nucleolus,ECO:0000269
A4D2B0,Nucleus,ECO:0000269
A4GXA9,Nucleus,ECO:0000305
A5LHX3,Nucleus,ECO:0000250
A5YKK6,Nucleus,ECO:0000305
A6H8Y1,Nucleus,ECO:0000269
A6NCS4,Nucleus,ECO:0000305
A6ND36,Nucleus,ECO:0000269
A6NDE4,Nucleus,None
A6NDV4,Nucleus,ECO:0000269
A6NGQ2,Nucleus,ECO:0000269
A6NI15,Nucleus,ECO:0000255
A6NIX2,Nucleus,ECO:0000250
A6NJ46,Nucleus,ECO:0000255
A6NNY8,Nucleus,ECO:0000250
A7MD48,Nucleus,ECO:0000250
A8CG34,Nucleus membrane,ECO:0000269
A8CG34,Nuclear pore complex,ECO:0000269
A8K830,Nucleus,ECO:0000269
A8K8V0,Nucleus,ECO:0000305
A8MT69,Nucleus,ECO:0000269
A8MTQ0,Nucleus,ECO:0000255
A8MU46,Nucleus,ECO:0000250
A8MV65,Nucleus,ECO:0000250
A8MZ59,Nucleus,ECO:0000269
A9UHW6,Nucleus,ECO:0000269
A9YTQ3,Nucleus,ECO:0000255
A9YTQ3,Nucleus,ECO:0000269
B2RXF5,Nucleus,ECO:0000269
B2RXF5,Nucleoplasm,ECO:0000250
B2RXH2,Nucleus,ECO:0000255
C9JE40,Nucleus,ECO:0000250
C9JLW8,Nucleus,ECO:0000269
D6RGH6,Nucleus,ECO:0000269
G2XKQ0,Nucleus,ECO:0000269
H0YL14,Nucleus,ECO:0000269
O00141,Nucleus,None
O00148,Nucleus,ECO:0000269
O00159,Nucleolus,ECO:0000269
O00159,Nucleoplasm,ECO:0000269
