Entry,localization,relability_score
Q16850,Endoplasmic reticulum,Enhanced
Q92934,Mitochondria,Enhanced
P52756,Nucleoplasm,Enhanced
Q02790,Cytosol,Enhanced
Q02790,Nucleoplasm,Enhanced
P46063,Nucleoplasm,Enhanced
P30260,Nucleoplasm,Enhanced
P53701,Mitochondria,Enhanced
O14641,Nuclear bodies,Enhanced
O14641,Nucleoplasm,Enhanced
O75563,Nucleoplasm,Enhanced
Q9H6T3,Cytosol,Enhanced
Q6NTF9,Golgi apparatus,Enhanced
P57073,Nucleoplasm,Enhanced
Q9UKT7,Nuclear bodies,Enhanced
Q9UHR4,Cytosol,Enhanced
Q9UHR4,Plasma membrane,Enhanced
Q9Y6N9,Cytosol,Enhanced
Q96CT7,Cytosol,Enhanced
Q96CT7,Plasma membrane,Enhanced
P51854,Cytosol,Enhanced
P26367,Nucleoplasm,Enhanced
O60271,Centriolar satellite,Enhanced
O60271,Cytosol,Enhanced
Q9NR20,Vesicles,Enhanced
O43670,Nucleoplasm,Enhanced
P06241,Cytosol,Enhanced
P06241,Plasma membrane,Enhanced
Q6DKK2,Mitochondria,Enhanced
Q9NQW6,Midbody,Enhanced
Q9NQW6,Nucleoplasm,Enhanced
O95785,Nucleoplasm,Enhanced
Q9Y3P9,Cytosol,Enhanced
Q9P1Z2,Cytosol,Enhanced
Q9Y5A7,Nucleoli,Enhanced
Q9Y5A7,Nucleoplasm,Enhanced
Q96FC9,Nucleoli,Enhanced
Q96FC9,Nucleoplasm,Enhanced
Q8NFJ5,Plasma membrane,Enhanced
Q8NFJ5,Vesicles,Enhanced
Q9Y6A5,Cytosol,Enhanced
Q9Y6A5,Mitotic spindle,Enhanced
O00116,Peroxisomes,Enhanced
P51948,Nucleoplasm,Enhanced
P49959,Nucleoplasm,Enhanced
Q9H0X9,Vesicles,Enhanced
O60306,Nucleoplasm,Enhanced
P13489,Cytosol,Enhanced
Q9NS18,Nucleoplasm,Enhanced
Q16533,Nucleoli,Enhanced
Q16533,Nucleoplasm,Enhanced
Q9Y3F4,Cytosol,Enhanced
Q9H4E7,Nucleoplasm,Enhanced
Q99797,Mitochondria,Enhanced
P09086,Nucleoplasm,Enhanced
P09086,Vesicles,Enhanced
Q9H8M2,Nucleoplasm,Enhanced
Q13596,Endosomes,Enhanced
P62380,Nucleoplasm,Enhanced
Q9NYF8,Nuclear speckles,Enhanced
P28799,Lysosomes,Enhanced
Q7L2Z9,Nucleoplasm,Enhanced
P49591,Cytosol,Enhanced
Q9H6Z4,Nucleoplasm,Enhanced
Q6NZY4,Nucleoplasm,Enhanced
Q9UG63,Cytosol,Enhanced
A0AVT1,Cytosol,Enhanced
A0AVT1,Nucleoplasm,Enhanced
Q99767,Golgi apparatus,Enhanced
P18206,Focal adhesion sites,Enhanced
P35251,Nucleoplasm,Enhanced
Q9NUY8,Golgi apparatus,Enhanced
Q8IYH5,Nucleoli,Enhanced
Q8IYH5,Nucleoli rim,Enhanced
Q8IYH5,Nucleoplasm,Enhanced
Q9UBP6,Nucleoplasm,Enhanced
Q8NFC6,Nucleoplasm,Enhanced
Q6P2E9,Cytoplasmic bodies,Enhanced
Q7Z3T8,Cytosol,Enhanced
Q7Z3T8,Vesicles,Enhanced
Q9BUL5,Nucleoplasm,Enhanced
Q9NQC1,Nucleoplasm,Enhanced
P12270,Nuclear membrane,Enhanced
Q96EV8,Microtubules,Enhanced
Q9HD26,Golgi apparatus,Enhanced
Q9Y3C1,Nucleoli,Enhanced
Q7LG56,Cytosol,Enhanced
Q7LG56,Nucleoplasm,Enhanced
Q96T23,Nucleoplasm,Enhanced
Q9NZB2,Cytosol,Enhanced
Q9UHB6,Actin filaments,Enhanced
Q9UHB6,Cytosol,Enhanced
Q9UHB6,Focal adhesion sites,Enhanced
Q9UHB6,Plasma membrane,Enhanced
Q5JTH9,Nucleoli,Enhanced
Q9Y2W1,Nuclear speckles,Enhanced
Q86SQ7,Centrosome,Enhanced
Q9Y2X3,Nucleoli fibrillar center,Enhanced
Q9Y2X3,Nucleoplasm,Enhanced
P19525,Cytosol,Enhanced
Q9P275,Nucleoli,Enhanced
Q9P275,Nucleoli rim,Enhanced
Q8TB72,Cytosol,Enhanced
Q9HBD1,Vesicles,Enhanced
P35610,Endoplasmic reticulum,Enhanced
Q99959,Cell Junctions,Enhanced
Q9NVU0,Nucleoplasm,Enhanced
Q4VC44,Nuclear bodies,Enhanced
P54886,Mitochondria,Enhanced
Q9Y5U8,Mitochondria,Enhanced
O75390,Mitochondria,Enhanced
Q14790,Cytosol,Enhanced
Q9NVM9,Nucleoplasm,Enhanced
Q9Y5L0,Vesicles,Enhanced
O14593,Nucleoplasm,Enhanced
P10619,Vesicles,Enhanced
Q8IX01,Nuclear bodies,Enhanced
Q8IX01,Nucleoplasm,Enhanced
Q9P0W2,Nucleoplasm,Enhanced
Q9UNX4,Nucleoli,Enhanced
Q9UNX4,Nucleoplasm,Enhanced
Q16513,Intermediate filaments,Enhanced
Q16513,Nucleoplasm,Enhanced
Q96T58,Nucleoplasm,Enhanced
Q15746,Actin filaments,Enhanced
Q8WU90,Cytosol,Enhanced
Q04759,Centriolar satellite,Enhanced
Q9UIB8,Plasma membrane,Enhanced
O95625,Nucleoplasm,Enhanced
Q9Y6D6,Cytosol,Enhanced
Q9Y6D6,Golgi apparatus,Enhanced
Q9Y6D6,Nucleoplasm,Enhanced
P14618,Cytosol,Enhanced
Q5QJE6,Nucleoli,Enhanced
Q5QJE6,Nucleoplasm,Enhanced
Q9NSE4,Mitochondria,Enhanced
Q92917,Nucleoplasm,Enhanced
O95602,Nucleoli fibrillar center,Enhanced
O00139,Centrosome,Enhanced
O00139,Nucleoli,Enhanced
O00139,Nucleoplasm,Enhanced
P80303,Golgi apparatus,Enhanced
